,ID,Applies To,Country,Date Start,Date end intended,Description of measure implemented,Exceptions,Implementing City,Implementing State/Province,Keywords,Quantity,Source,Target city,Target country,Target region,Target state,leaving home,restaurant closure,school closure,travel restriction
948,,,US:Maryland,"Mar 15, 2020",,"The University of Maryland, College Park; University of Maryland, Baltimore County; Towson University; University of Maryland Eastern Shore; and Salisbury University all closed campuses early and moved to online classes after Spring Break",,,,"remote schooling, university closure",,,,,,,False,False,True,False
949,,,Hong Kong,"Mar 21, 2020","Apr 24, 2020","- The exams for the Hong Kong Diploma of Secondary Education will be postponed and oral exams cancelled. The key tests, which are a reference for university enrollment, will be pushed back to April 24 and schools will remain closed until further notice.
- Only essential government services will be in operation as of Monday. Libraries, museums and leisure facilities will close, after they reopened at the start of March, as Lam urged private sector employers to roll out work-from-home arrangements.
- The government will give two face masks per day to seniors at elderly homes",,,,"essential public service, exam cancellation, exam postpone, public announcement, public mask and hygiene supply, remote work, school closure, social distancing",,https://www.hongkongfp.com/2020/03/21/breaking-civil-servants-work-remotely-school-exams-postponed-hong-kong-sees-spike-coronavirus-cases/,,,,,True,False,True,False
959,,,South Korea,"Mar 11, 2020",,Mask Supply App service commenced- informs and alerts local pharmacies mask supply situations to citizens  ,,,,"public mask and hygiene supply, public mask wearing",,http://news.kbs.co.kr/news/view.do?ncd=4398881&ref=A,,,,,True,False,False,False
960,,,US: Illinois,"Mar 21, 2020",,"All travel, including, but not limited to, travel by automobile, motorcycle, scooter, bicycle, train, plane, or public transit, except Essential Travel and Essential Activities as defined herein, is prohibited.",,,,domestic travel limitation,,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-10.aspx,,,,,False,False,False,True
964,,,US:Delaware,"Mar 16, 2020",,dine-in restaurants closed (takeaway allowed),,,,restaurant limitations,,,,,,,False,True,False,False
965,,,US:Delaware,"Mar 16, 2020",,National Junior College Athletic Association also canceled the remainder of the winter seasons as well as the spring seasons,,,,sport cancellation,,,,,,,True,False,False,False
966,,,US: Illinois,"Mar 15, 2020",,"On March 15, Governor Pritzker announced that all bars and restaurants will be closed until March 30 as ""it is his way on enforcing and preserving the safety and health of all residents of Illinois"". Businesses with delivery options will still be able to serve",,,,restaurant limitations,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#cite_note-51,,,,,False,True,False,False
967,,,US:Delaware,"Mar 13, 2020","Mar 27, 2020",school closure,,,,school closure,,,,,,,False,False,True,False
968,,,US: Illinois,"Mar 13, 2020",,"On March 13, Governor Pritzker announced that all schools in Illinois would close for a period to begin the following Tuesday and last until the end of the month. The governor's announcement came after hundreds of public school districts and private schools had already announced closures",,,,"nursery schools closure, school closure",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#cite_note-51,,,,,False,False,True,False
969,,,US:Delaware,"Mar 13, 2020",,the University of Delaware announced that all classes after spring break would be moved to an all-online format for the remainder of the semester,,,,"remote schooling, university closure",,,,,,,False,False,True,False
970,,,US:Delaware,"Mar 12, 2020",,the National Collegiate Athletic Association cancelled all winter and spring tournaments,,,,sport cancellation,,,,,,,True,False,False,False
978,,,US: Wisconsin,"Mar 13, 2020",,"On the 13th, the governor ordered the closure of all public and private K-12 schools in the state until at least April 5.[9] Most schools in the University of Wisconsin System, including Madison[10] and Stout,[11] have cancelled all in-person classes through early April",,,,school closure,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wisconsin,,,,,False,False,True,False
979,,,US: Wisconsin,"Mar 17, 2020",,"Restaurants, bars etc:  No seating may be
provided, food and drink may not be consumed on the premises (either indoors or outdoors) and customers may enter the
facility only to pick up and pay. Self-service operations, including salad bars, beverage stations, and buffets are
prohibited. Customers are prohibited from self-dispensing all unpackaged food.",,,,"closure nonessential stores, restaurant limitations",,https://evers.wi.gov/Documents/COVID19/Mass%20Gathering%20FAQ%203.21.20.pdf,,,,,True,True,False,False
980,,,US: Wisconsin,"Mar 18, 2020","Apr 03, 2020","On March 16, the Archdiocese of Milwaukee suspended all masses from March 18 through April 3. Also, Catholic schools would cease in-person instruction",,,,religious activity cancellation,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Wisconsin,,,,,True,False,False,False
981,,,US: Wisconsin,"Mar 20, 2020",," All hair salons, barber shops, nail salons, day spas, tattoo parlors, body art establishments, and tanning facilities were
required to close effective 5:00pm on Friday, March 20th",,,,"business suspension, closure nonessential stores",,https://evers.wi.gov/Documents/COVID19/Mass%20Gathering%20FAQ%203.21.20.pdf,,,,,True,False,False,False
983,,,US:Delaware,"Mar 12, 2020","Apr 05, 2020",Delaware State University President Dr. Tony Allen advised all students to not return to campus until at least April 5. He also announced that all classes from March 18 until April 5 will take place online,,,,"remote schooling, university closure",,,,,,,False,False,True,False
984,,,US: Virginia,"Mar 12, 2020",,the National Collegiate Athletic Association cancelled all winter and spring tournaments,,,,sport cancellation,,,,,,,True,False,False,False
985,,,US: Virginia,"Mar 16, 2020",,the National Junior College Athletic Association also canceled the remainder of the winter seasons as well as the spring seasons,,,,sport cancellation,,,,,,,True,False,False,False
989,,,US: Virginia,"Mar 13, 2020","Mar 28, 2020",all school closure,,,,school closure,,,,,,,False,False,True,False
990,,,Taiwan,,,"A man, who was supposed to be doing 14 days mandatory self-isolation at home after returning from Southeast Asia, was fined TW$1 million for going clubbing ",,,,"14 days, compulsory isolation, fine, high compliance, international traveller screening, targeted isolation",,https://www.hongkongfp.com/2020/03/23/coronavirus-taiwan-fines-man-us33000-breaking-quarantine-rule/,,,,,False,False,False,True
995,,,US: Illinois,"Mar 17, 2020","Mar 30, 2020",Governor Pritzker announced statewide school closures beginning March 17 until March 30.[28],,,,school closure,,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-10.aspx,,,,,False,False,True,False
1000,874,,Greece,"Mar 22, 2020",,"On the same day, it was also announced that daytime public transport services will be limited, although ensuring sufficient service during business hours. Journeys by car are only permitted for the specific exemptions, and the driver may only have one passenger in the vehicle. In addition, all parks, recreation areas and marinas were closed.",,,,domestic travel limitation,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Greece,,,,,False,False,False,True
1001,875,,US: Virginia,"Mar 12, 2020",,school closure,,,"Farifax county, Loudoun county, Prince William County, Stafford County",school closure,,,,,,,False,False,True,False
1002,876,,US: Virginia,"Mar 19, 2020",,"the University of Virginia in Charlottesville announced that classes will be moved online beginning on March 19 ""for the forseeable future, quite possibly through the end of the semester.""",,,,"remote schooling, university closure",,,,,,,False,False,True,False
1009,,,US: Illinois,"Mar 21, 2020",,"All businesses and operations in the State, except Essential Businesses and Operations as defined below, are required to cease all activities within the State",,,,"business suspension, closure nonessential stores",,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-10.aspx,,,,,True,False,False,False
1010,,,US: Illinois,"Mar 21, 2020",,all individuals currently living within the State of Illinois are ordered to stay at home or at their place of residence,,,,"blanket curfew, social distancing",,https://www2.illinois.gov/Pages/Executive-Orders/ExecutiveOrder2020-10.aspx,,,,,True,False,False,False
1012,,,US:Delaware,"Mar 13, 2020",,the Downtown Dover Partnership announced the cancellation of the St. Patrick's Day parade due to coronavirus concerns,,,,event cancellation,,,,,,,True,False,False,False
1013,,,US: Indiana,"Mar 16, 2020",,"Governor Holcomb also ordered all bars, restaurants, and nightclubs to close to in-house patrons; only take-out would be permitted",,,,restaurant limitations,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indiana,,,,,False,True,False,False
1014,,,US: Indiana,"Mar 25, 2020","May 07, 2020",All non-essential businesses are closed ,,,,"business suspension, closure nonessential stores",,https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,,,,True,False,False,False
1015,,,US: Indiana,"Mar 19, 2020","May 01, 2020","All K-12 schools (both public and private) were to remain closed until at least May 1, and all state-mandated standardized tests were cancelled",,,,"nursery schools closure, school closure",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indiana,,,,,False,False,True,False
1016,,,US:Maryland,"Mar 12, 2020",,"all archdiocesan parishes, missions, and campus ministries would be suspending public masses",,,,religious activity limitations,,,,,,,True,False,False,False
1023,,,US:Maryland,"Mar 12, 2020",,the Alhambra Catholic Invitational Tournament for basketball scheduled to be held at Frostburg State University was cancelled,,,,sport cancellation,,,,,,,True,False,False,False
1024,,,US:Maryland,"Mar 16, 2020",,Archbishop William E. Lori of the Roman Catholic Archdiocese of Baltimore announced that all Catholic schools in the archdiocese would close,,,,school closure,,,,,,,False,False,True,False
1025,,,US:Maryland,"Mar 14, 2020",,", five of six Maryland casinos, announced they would limit the number of persons in their facilities by half to help practice social distancing.",,,,social distancing,,,,,,,True,False,False,False
1026,,,US: Indiana,"Mar 25, 2020","May 07, 2020","All travel, including, but not limited to, travel by automobile, motorcycle, scooter, bicycle, train, plane, or public transit, except Essential Travel and Essential Activities as defined herein, is prohibited.",,,,domestic travel limitation,,https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf,,,,,False,False,False,True
