,ID,Applies To,Country,Date Start,Date end intended,Description of measure implemented,Exceptions,Implementing City,Implementing State/Province,Keywords,Quantity,Source,Target city,Target country,Target region,Target state,leaving home,restaurant closure,school closure,travel restriction
74,2,,Hong Kong,"Dec 30, 2019",,Hong Kong Secretary for Food and Health announced that suspected cases presenting with symptoms of pneumonia acute respiratory illness fever and a recent travel to Wuhan within the last 14 days would be put in isolation,,,,"14 days, compulsory isolation, international traveller screening, targeted isolation",,https://www.bmj.com/content/368/bmj.m56,,China,,,False,False,False,True
75,1,,Taiwan,"Dec 30, 2019",,Tightened inbound traveller screening,,,,international traveller screening,,https://www.bmj.com/content/368/bmj.m56,,China,,,False,False,False,True
76,3,,Macau,"Dec 30, 2021",,Tightened inbound traveller screening,,,,international traveller screening,,https://www.bmj.com/content/368/bmj.m56,,China,,,False,False,False,True
87,25,,China,"Feb 01, 2020",,The Department of Civil Affairs of Hubei Province suspends all marriage registrations starting on 3 February 2020,,,Hubei,"social distancing, weddings canceled",,https://web.archive.org/web/20200202065359/https://www.jiemian.com/article/3932693.html,,,,,True,False,False,False
88,11,,United States,"Jan 07, 2020",,United States CDC issues travel warning to for travellers to Wuhan for cluster of pneumonia cases of unknown etiology ,,Washington DC,,"international traveller screening, travel warning",,https://www.kff.org/news-summary/chinese-health-authorities-work-to-discover-cause-of-viral-pneumonia-outbreak-cdc-issues-travel-notice-for-wuhan/,,,,,False,False,False,True
90,27,,China,"Feb 01, 2020",,"Hunan government required companies in the province not to resume business before 24:00 on 9 February; the new semester is not to start earlier than 17 February for primary and secondary schools and kindergartens, and 24 February for post-secondary institutions",,,Hunan,"business suspension, school closure, university closure",,https://web.archive.org/web/20200202065356/https://www.jiemian.com/article/3931335.html,,,,,False,False,True,False
91,28,,China,"Feb 01, 2020",,Tianjin government issued a notice to postpone business resumption and the start of the new semester,,,Tianjin,"business suspension, school closure, university closure",,https://web.archive.org/web/20200202141545/http://www.chinanews.com/gn/2020/02-01/9074793.shtml,,,,,False,False,True,False
97,34,,China,"Feb 01, 2020",,"China's National Health Commission (NHC) announced new regulations Saturday requiring that all who lose their lives to the coronavirus must be cremated at the nearest facility. ""No farewell ceremonies or other funeral activities involving the corpse shall be held,""",,,,"funeral hygiene, hygiene enforcement, public hygiene",,https://web.archive.org/web/20200204043336/https://www.businessinsider.com/china-bans-funerals-for-coronavirus-victims-as-death-toll-rises-2020-2,,,,,True,False,False,False
98,35,,China,"Feb 01, 2020",,"The Badminton World Federation announced it has postponed the 2020 Lingshui China Masters tournament, originally scheduled to be held from 25 February to 1 March",,,,event cancellation,,https://bwfbadminton.com/news-single/2020/02/01/bwf-statement-on-postponement-of-lingshui-china-masters/,,,,,True,False,False,False
102,40,,China,"Feb 02, 2020",,Meituan starts an initiative to disinfect all shared bikes in eight mainland cities regardless of the brand,,,Meituan,public hygiene,,https://web.archive.org/web/20200202061154/https://www.jiemian.com/article/3934577.html,,,,,True,False,False,False
115,52,,China,"Feb 06, 2020",,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",,,Chongqing,"school closure, university closure",,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti0Rd54yRt0cEq03jI3VsT200206&fromapp=cctvnews&version=803&version=803&allow_comment=1,,,,,False,False,True,False
116,53,,China,"Feb 06, 2020",,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",,,Zhejian,"school closure, university closure",,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti0Rd54yRt0cEq03jI3VsT200206&fromapp=cctvnews&version=803&version=803&allow_comment=1,,,,,False,False,True,False
117,54,,China,"Feb 06, 2020",,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",,,Shanghai,"school closure, university closure",,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti0Rd54yRt0cEq03jI3VsT200206&fromapp=cctvnews&version=803&version=803&allow_comment=1,,,,,False,False,True,False
119,55,,China,"Feb 06, 2020",,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",,,Jiangsu,"school closure, university closure",,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti0Rd54yRt0cEq03jI3VsT200206&fromapp=cctvnews&version=803&version=803&allow_comment=1,,,,,False,False,True,False
130,67,,China,"Feb 10, 2020",,Tibetan New Year public activities due to occur on 24 February were suspended due to the Coronavirus disease 2019 epidemic.,,,,event cancellation,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-573,,,,,True,False,False,False
134,17,,Thailand,"Jan 13, 2020",,"First case outside China reported, a resident of Wuhan, visiting Thailand; detected via thermal imaging on arrival at airport ",,Bangkok,,"first case, international traveller screening",,https://web.archive.org/web/20200114230152/http://www.cidrap.umn.edu/news-perspective/2020/01/report-thailands-coronavirus-patient-didnt-visit-outbreak-market,,,,,False,False,False,True
138,70,,China,"Feb 12, 2020",,China National Railway Group stopped selling seatless tickets and initiated measures to control train occupancy.,,,,"public transport limitation lifted, social distancing",,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-594,,,,,True,False,False,False
139,71,,China,"Feb 13, 2020",,"ubei released 1.3 million masks for civil use, providing pharmacies at ¥1 each and requiring them to sell at the ""affordable price"" of ¥2 (US$0.287) each.",,,Hubei,"public mask and hygiene supply, public mask wearing",,http://www.bjnews.com.cn/news/2020/02/13/688878.html,,,,,True,False,False,False
140,72,,China,"Feb 13, 2020",,Hubei postponed business resumption and start of new semester across the province; businesses were not to resume before 24:00 on 20 Feb,,,Hubei,"business suspension, school closure",,https://www.jiemian.com/article/3979654.html,,,,,False,False,True,False
141,73,,China,"Feb 13, 2020",,Guangxi prohibited the start of new semester before 1 March.,,,Guangxi,school closure,,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-609,,,,,False,False,True,False
147,80,,Italy,"Mar 08, 2020","Apr 04, 2020","stop sport activities (gyms, swimming pools, thermal centers)",,,,"activity cancellation, sport cancellation",,https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html,,,,,True,False,False,False
149,81,,Italy,"Mar 08, 2020","Apr 04, 2020",stop religious activities,,,,"activity cancellation, religious activity cancellation",,https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html,,,,,True,False,False,False
151,83,,Italy,"Mar 08, 2020","Apr 04, 2020",school facilities of all levels are closed.,,,,"school closure, university closure",,https://www.mzv.cz/rome/cz/viza_a_konzularni_informace/dalsi_zesilena_opatreni_proti_sireni.html,,,,,False,False,True,False
154,87,,Czechia,"Mar 13, 2020",,"Quarantine (14 days at home) for all incoming from high-risk countries (China, Iran, Italy, South Korea, France, Spain, Germany, Switzerland, Norway, Denmark, The Netherlands, Sweden, The United Kingdom, Belgium, Austria)",,,,"14 days, international traveller screening, targeted isolation",,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,"Austria, Belgium, China, Denmark, France, Germany, Iran, Italy, Norway, South Korea, Spain, Sweden, Switzerland, The United Kingdom, the Netherlands",,,False,False,False,True
155,86,,Czechia,"Mar 14, 2020","Mar 24, 2020",ban on the presence of public in catering establishments ,staffing and boarding of health and social service providers or prisons,,,"business suspension, restaurant limitations",,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,,,,False,True,False,False
156,88,,Czechia,"Mar 13, 2020",,ban on leaving the republic,,,,outbound traveller ban,,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,,,,False,False,False,True
160,92,,China,"Feb 14, 2020",,All mainland IELTS exams in March were cancelled,,,,"activity cancellation, school closure",,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-619,,,,,False,False,True,False
163,95,,China,"Feb 15, 2020",,"The Central Bank of China required cash from outbreak areas to be stored for at least 14 days before entering market, 7 days for other areas.",,,,"cash hygiene, public hygiene",,https://en.wikipedia.org/wiki/Timeline_of_the_2019%E2%80%9320_coronavirus_pandemic_in_February_2020#cite_note-625,,,,,True,False,False,False
165,97,,China,"Feb 16, 2020",,All nonessential public spaces in Hubei are to be closed and all gatherings forbidden,,,,"activity ban, activity cancellation, gatherings of any people banned",,https://www.thepaper.cn/newsDetail_forward_6020319,,,,,True,False,False,False
174,106,,China,"Feb 18, 2020",,"Shanghai requires educational institutions to conduct online education when the new semester starts on 2 March, so that student will not go to school.",,,Shanghai,"mandated remote schooling, remote schooling",,https://www.jiemian.com/article/3999134.html,,,,,False,False,True,False
187,119,,China,"Feb 25, 2020",,"In response the epidemic situation in South Korea and an apparent significant surge of demand for flight tickets from South Korea to Shandong cities, Qingdao will now quarantine all persons entering with a travel history of areas with the epidemic,[692] Weihai will now quarantine all persons entering from Japan and South Korea for 14 days,[693] Shenyang will now test the temperature of all passengers entering from the city,[694] and Dalian will now include all foreigners into its epidemic control mechanism.",,"Dalian, Qingdao, Shenyang, Weihai","Liaoning, Shandong","compulsory isolation, international traveller screening, targeted isolation",,http://www.takungpao.com/news/232108/2020/0225/419743.html,,"Japan, South Korea",,,False,False,False,True
188,121,,Czechia,"Mar 10, 2020",,"personal participation in teaching at primary, secondary, tertiary and tertiary professional schools was also prohibited",,,,"school closure, university closure",,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,,,,False,False,True,False
190,124,,Australia,"Feb 01, 2020",,All travellers arriving out of mainland China were asked to self-isolate for a period of 14 days from the time of leaving. ,,,,traveller quarantine,,https://www.health.gov.au/news/australian-health-protection-principal-committee-ahppc-novel-coronavirus-statement-on-1-february-2020,,China,,,False,False,False,True
191,122,,China,"Feb 25, 2020",,Beijing required foreign travellers arriving from areas affected by COVID-19 to be quarantined for 14 days.,,Beijing,,"compulsory isolation, international traveller screening, targeted isolation",,https://www.channelnewsasia.com/news/asia/beijing-orders-quarantine-for-foreign-arrivals-from-virus-hit-areas-12473012,,"Japan, South Korea",,,False,False,False,True
193,125,,Czechia,"Mar 10, 2020",,"another extraordinary measure was issued, ordering all persons not subject to the extraordinary measure of 7 March 2020 on compulsory quarantine, after crossing the national border of the Czech Republic, to undergo control of symptoms of infectious diseases. At the same time, it directs all people who have been diagnosed with symptoms to provide the necessary assistance to healthcare professionals.",,,,"international traveller screening, traveller quarantine",,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,,,,False,False,False,True
194,127,,Czechia,"Mar 10, 2020",,"the Security Council met. Subsequently, the Ministry of Health, based on an ongoing assessment of the situation, issued an extraordinary measure ordering, with effect from 10 March 2020, all providers of inpatient health services and social services facilities to ban visitors.","inpatient care, which is provided to minors, patients with limited legal capacity and parents. The ban on visits also does not apply to hospices, including services for terminally terminally ill patients.",,,"social distancing, visiting in hospital banned",,https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/,,,,,True,False,False,False
195,128,,Taiwan,"Feb 01, 2020",,"Taiwan barred nationals from Guangdong (mainland China) and travellers who recently visited the area will be subject to a mandatory 14-day quarantine, from entry beginning 1 February.",,,,"international travel ban, traveller quarantine",,https://cdn.jamanetwork.com/ama/content_public/journal/jama/0/jvp200035supp1_prod.pdf?Expires=2147483647&Signature=bIZCLS7ZLWTJd~U~H40JgiEGdFb3ggVUJpBvJ7KdANK7HgK1zaj4uWHvqweGym1nWfO~nXt9Y5i1vX79pF7zjjqfzmJAy3udTdpVVZQe07xnQIPcBMXLwZ5XjgTO8yKFXVIpxsXhrmOu8sGSpKiEmQ86ZCKfOTar7fMAGmUCtjiYVFwf31K3REWAA-r3hZyoZpqz3QKpVgpsRpF9fV9thQCq0~yvbvRKTH4PcoB~CZgmXH7rpVb6bILXQn5zBCphf6pyLAa4zIebUEKfCdCYdSdi9LeIEUsesqsYpNWgHJcr4K1LC0hFlst0RHQz-vZ7I-OvrX~5jel6zjjtuDQzjQ__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA,,China,Guangdong,,False,False,False,True
196,130,,Japan,"Feb 01, 2020",,"The Government of Japan barred: entry of foreign nationals infected with the virus, and entry of Chinese citizens with passports issued in Hubei province.",,,,international travel ban,,https://japantoday.com/category/national/Japan-bars-entry-of-foreign-travelers-from-China%27s-Hubei-Province,,China,Hubei,,False,False,False,True
197,133,,Trinidad and Tobago,"Feb 01, 2020",,Trinidad and Tobago's travel restrictions on persons arriving from China goes into full effect. Persons now have to wait 14 days after leaving China before being able to enter Trinidad & Tobago. Additionally persons who may already be at a port of entry and who were in China or are showing symptoms will be subject to quarantine measures.,,,,traveller quarantine,,http://www.guardian.co.tt/neo/NeoProxy.dll?app=NeoDirect&com=6/2/1044268/3e2e11acfd,,"Canada, China, Panama, United Kingdom, United States",,,False,False,False,True
199,134,,Qatar,"Feb 03, 2020",,Qatar Airways has suspended flights to mainland China from 3 February until further notice,,,,international travel ban,,https://business.financialpost.com/pmn/business-pmn/qatar-air-suspends-flights-to-china-as-cases-jump-virus-update,,China,,,False,False,False,True
200,136,,North Korea,"Feb 02, 2020",,"""During the month of February, events, ceremonial visits and meetings shall not proceed, and essential meetings shall be conducted via telephone"" [...] all diplomats or international organization staff going to North Korea will now be subjected to a mandatory 15-day quarantine process at their “place of residence” from the day of arrival"".",,,,"activity cancellation, traveller quarantine",,https://www.nknews.org/2020/02/north-korea-suspends-vladivostok-flights-expands-virus-containment-measures/,,Russia,,,False,False,False,True
201,135,,New Zealand,"Feb 02, 2020","Feb 28, 2020","New Zealand has temporarily banned all foreign nationals travelling from, or transiting through mainland China after 2 February to assist the containment of the coronavirus into New Zealand and the Pacific Islands. Foreign travelers in transit to New Zealand on 2 February will be subject to enhanced scanning but pending clearance will be allowed into New Zealand.",,,,international travel ban,,https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12305282,,China,,,False,False,False,True
205,146,,Hong Kong,"Feb 07, 2020",,"Two Hong Kong jewelry trade fairs, hosted by the Hong Kong Trade Development Council, got rescheduled due to the virus epidemic.[810] Art Basel Hong Kong international art fair, that was being held in March also gets cancelled due to the virus epidemic.",,,,"activity cancellation, business suspension, event cancellation",,https://www.forbes.com/sites/anthonydemarco/2020/02/06/two-hong-kong-jewelry-trade-fairs-are-rescheduled-due-to-coronavirus/,,,,,True,False,False,False
206,144,,United States,"Feb 06, 2020",,US Universities restrict study abroad program to and from China,,,,"activity cancellation, university closure",,https://www.foxnews.com/health/coronavirus-these-universities-canceling-study-abroad-programs,,China,,,False,False,True,False
210,151,,Romania,"Jan 22, 2020",,"Romanian government announced several preventive measures including designation of five hospitals as isolation centres for new cases, purchase and placement of thermal scanners in international airports and special designated lines for passengers coming from areas affected by COVID-19 outbreak.",,,,"hospital specialisation, international traveller screening",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Romania,,,,,False,False,False,True
212,153,,Czechia,"Mar 10, 2020",,All mass events with more than 100 people were banned at the same time,,,,"event cancellation, gathering of more than 100 people banned, social distancing",,,,,,,True,False,False,False
213,5,,Portugal,"Mar 15, 2020",,"All national museums, monuments and palaces, under the supervision of the Directorate-General for Cultural Heritage (DGPC) are closed.",,,,"business suspension, cultural activity limitation, social distancing",,https://tvi24.iol.pt/sociedade/palacios-nacionais/covid-19-encerrados-todos-os-museus-palacios-e-monumentos-nacionais,,,,,True,False,False,False
214,154,,Spain,"Mar 09, 2020",,temporarily closing all educational institutions in Madrid and other hard-hit regions.,,,Madrid,"school closure, university closure",,https://www.ft.com/content/b91c1de6-6246-11ea-a6cd-df28cc3c6a68,,,,,False,False,True,False
215,155,"schools, universities and crèches",France,"Mar 16, 2020",,"French schools, universities and crèches will be shut from Monday due to the coronavirus outbreak",,,,"school closure, university closure",,https://www.politico.eu/article/macron-orders-closure-of-french-schools-universities-due-to-coronavirus/,,,,,False,False,True,False
216,156,,Belgium,"Mar 14, 2020","Apr 03, 2020","Belgium will close schools,",,,,school closure,,https://www.thejakartapost.com/news/2020/03/13/belgium-closes-schools-bars-to-fight-coronavirus-outbreak.html,,,,,False,False,True,False
217,157,,Belgium,"Mar 14, 2020",,"cancel all cultural events and shutter bars and restaurants to stave off the spread of the coronavirus outbreak (all recreational events: sporting, cultural or folkloric"" are cancelled, ""regardless of size and whether it is a private or public meeting."")",,,,"activity ban, business suspension",,https://www.thejakartapost.com/news/2020/03/13/belgium-closes-schools-bars-to-fight-coronavirus-outbreak.html,,,,,True,False,False,False
220,160,,Luxembourg,"Mar 16, 2020","Mar 27, 2020","Meanwhile, Luxembourg’s Health Minister Paulette Lenert announced that all schools in the country will be closed as of March 16 until March 27.",,,,school closure,,https://www.aa.com.tr/en/europe/belgium-portugal-to-shut-schools-over-coronavirus/1764338,,,,,False,False,True,False
221,161,,Portugal,"Mar 13, 2020","Apr 09, 2020",Portugal’s Prime Minister Antonio Costa said in a press conference that all schools and universities will be closed until April 9.,,,,"school closure, university closure",,https://www.aa.com.tr/en/europe/belgium-portugal-to-shut-schools-over-coronavirus/1764338,,,,,False,False,True,False
222,162,,Albania,"Mar 16, 2020","Mar 26, 2020","Albania will close schools and ban public gatherings for two weeks after doctors confirmed the first two cases of the novel coronavirus on Monday, the prime minister said.",,,,"first case, school closure",,https://www.newvision.co.ug/new_vision/news/1516166/coronavirus-update-embassies-closed-schools-shut,,,,,False,False,True,False
223,164,,Andorra,"Mar 16, 2020",,The Government announced that it will close all schools from March 16.,,,,school closure,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Andorra,,,,,False,False,True,False
226,166,,Spain,"Mar 11, 2020","Mar 25, 2020","Madrid, Basque city close schools as coronavirus continues spread in Spain",,Madrid,,school closure,,https://english.elpais.com/society/2020-03-09/madrid-basque-city-close-schools-as-coronavirus-continues-spread-in-spain.html,,,,,False,False,True,False
227,169,people from Italy,Austria,"Mar 10, 2020",,Travel restrictions for people coming from Italy are established.,,,,international travel ban,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria,,Italy,,,False,False,False,True
228,168,,Austria,"Mar 10, 2020",,All outdoor events with more than 500 people and all indoor events with more than 100 people are canceled.,,,,"event cancellation, gathering of more than 100 people banned, gathering of more than 500 people in open spaces banned, sport cancellation",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria,,,,,True,False,False,False
229,170,,Austria,"Mar 10, 2020",,The government asked the general public to avoid social contacts and announced even further restrictions to be made soon.[11],,,,"public announcement, social distancing",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria,,,,,True,False,False,False
230,171, children older than 14 years old,Austria,"Mar 15, 2020","Apr 04, 2020"," All children older than 14 years old are ordered to stay at home, starting 15 March, with the younger children starting 17 March . This will apply until 4 April.",,,,school closure,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria,,,,,False,False,True,False
231,172,children younger than 14 years old,Austria,"Mar 17, 2020","Apr 04, 2020","All children older than 14 years old are ordered to stay at home, starting 15 March, with the younger children starting 17 March . This will apply until 4 April.",,,,school closure,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria,,,,,False,False,True,False
234,174,,Austria,"Mar 15, 2020",,"On 15 March, a ban was also announced for public gatherings of more than five people",,,,"gathering of more than 5 people banned, social distancing",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria,,,,,True,False,False,False
235,179,,Spain,"Mar 16, 2020",,"Basque elections, scheduled for 5 April, are delayed until the crisis is overcomeg",,,Basque Country,"elections, event cancellation",,https://elpais.com/espana/2020-03-16/urkullu-aplaza-las-elecciones-vascas-hasta-superar-la-crisis-del-coronavirus.html,,,,,True,False,False,False
238,175,,Austria,"Mar 17, 2020",,restaurants were ordered to close beginning on 17 March,,,,"business suspension, restaurant limitations",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria,,,,,False,True,False,False
240,184,,Azerbaijan,"Mar 02, 2020",,"On 2 March, educational processes and other related activities were suspended from 3–9 March in all educational institutions across the country to prevent the spread of COVID-19 infection,",,,,"school closure, university closure",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Azerbaijan,,,,,False,False,True,False
241,183,,Azerbaijan,"Mar 04, 2020",,"On 4 March, Azerbaijan stopped letting trucks and imports coming from Iran to enter the country.[4]",,,,international travel ban,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Azerbaijan,,Iran,,,False,False,False,True
242,182,,Azerbaijan,"Feb 28, 2020","Mar 13, 2020",On the same day Azerbaijan closed borders with Iran for 2 weeks.[3],,,,international travel ban,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Azerbaijan,,,,,False,False,False,True
243,191,,Spain,"Mar 12, 2020",,"Real Madrid CF's Champions League match against Manchester City F.C. being postponed, due to the Real Madrid players being put into quarantine",,,,"event cancellation, sport cancellation",,https://www.theguardian.com/football/2020/mar/12/real-madrid-players-in-quarantine-and-la-liga-suspended-due-to-coronavirus,,,,,True,False,False,False
244,190,,Spain,"Mar 12, 2020","Mar 26, 2020",the Liga de Fútbol Profesional announced that La Liga and the Segunda División (the top two leagues of football in Spain) had been suspended for at least 14 days,,,,"event cancellation, sport cancellation",,https://www.laliga.com/en-GB/news/official-statement-laliga-agrees-suspension-of-the-competition,,,,,True,False,False,False
245,189,,Spain,"Mar 11, 2020",,the 2020 Copa del Rey Final – the national football cup final due to be held in Seville on 18 April between two teams from the Basque Country – was postponed,,Sevilla,,"event cancellation, sport cancellation",,https://www.athletic-club.eus/en/news/2020/03/11/aplazada-la-final-de-la-copa-del-rey,,,,,True,False,False,False
246,187,,Spain,"Feb 12, 2020",,Barcelona's Mobile World Congress was cancelled.,,Barcelona,,event cancellation,,https://www.theverge.com/2020/2/12/21127754/mwc-2020-canceled-coronavirus-trade-show-phone-mobile-world-congress-gsma-statement,,,,,True,False,False,False
247,188,,Spain,"Mar 06, 2020",,"the Spanish Episcopal Conference indicated that churches should remove the holy water from the pillars, avoid the gesture of shaking hands as a way of giving peace, and not kiss religious images",,,,religious activity limitations,,https://conferenciaepiscopal.es/indicaciones-de-la-cee-ante-el-coronavirus/?utm_source=rss&utm_medium=rss&utm_campaign=indicaciones-de-la-cee-ante-el-coronavirus,,,,,True,False,False,False
248,195,,Spain,"Mar 10, 2020","Mar 25, 2020",the Government of Spain decreed the immediate cancellation of all direct flights from Italy to Spain until 25 March,,,,international travel ban,,https://www.elespanol.com/invertia/empresas/20200310/espana-prohibe-vuelos-directos-italia-marzo/473703280_0.html,,Italy,,,False,False,False,True
249,197,,France,"Feb 28, 2020",,the fashion designer agnès b. cancelled fashion shows in Paris Fashion Week which was scheduled to run until 3 March,,Paris,,event cancellation,,https://www.reuters.com/article/us-china-health-france-fashion-idUSKCN20M23F,,,,,True,False,False,False
250,194,,Spain,"Mar 10, 2020",,the Basque Government announced the same measure would be enforced in the municipality of Vitoria-Gasteiz,,Vitoria-Gasteiz,Basque Country,"school closure, university closure",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#cite_note-267,,,,,False,False,True,False
251,193,,Spain,"Mar 11, 2020","Mar 26, 2020",the Government of the Community of Madrid cancelled all in-person classes in the Autonomous community of Madrid at all educational levels for an initial period of 15 days,,,Madrid,"school closure, university closure",,https://www.comunidad.madrid/noticias/2020/03/09/comunidad-madrid-aprueba-medidas-extraordinarias-coronavirus,,,,,False,False,True,False
252,192,,Spain,"Mar 16, 2020",,"Galician elections, scheduled also for 5 April, are delayed until the crisis is overcome.",,,Galicia,"elections, event cancellation",,https://elpais.com/espana/2020-03-16/urkullu-aplaza-las-elecciones-vascas-hasta-superar-la-crisis-del-coronavirus.html,,,,,True,False,False,False
253,196,,France,"Feb 29, 2020",,"the Paris half marathon scheduled for Sunday 1 March with 44,000 participants was cancelled",,Paris,,"event cancellation, sport cancellation",,https://www.washingtontimes.com/news/2020/feb/29/paris-half-marathon-canceled-because-of-coronaviru/,,,,,True,False,False,False
254,199,,France,"Mar 15, 2020","Apr 15, 2020","the closure of all non-essential shops and businesses, including museums, restaurants and cinemas until 15 April. Bars and restaurants can continue offering a takeaway or delivery service.",,,,"business suspension, closure nonessential stores",,https://www.theguardian.com/world/2020/mar/15/coronavirus-causes-french-voters-to-stay-away-from-municipal-elections,,,,,True,False,False,False
255,198,Ligue de Football Professionnel,France,"Mar 13, 2020",,the Ligue de Football Professionnel suspended Ligue 1 and Ligue 2 (the top two divisions of football in France),,,,"event cancellation, sport cancellation",,https://www.lfp.fr/Articles/COMMUNIQU%C3%89S/2020/03/13/communique-de-la-lfp,,,,,True,False,False,False
258,205,,Belgium,"Jan 29, 2020",,"On 29 January, Belgium issued a travel notice advising against non-essential flights to China, Hong Kong excluded, with some travel companies cancelling all flights to China.[8]",Hong Kong excluded,,,"outbound traveller ban, public announcement, travel warning",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,,China,,,False,False,False,True
261,209,,Belgium,"Feb 01, 2020",,"On 1 February, Belgian nationals living in Hubei were repatriated on a series of evacuation flights arriving at Melsbroek Military Airport in Brussels,[15] where they were quarantined and examined in a military hospital. People tested positive for SARS-CoV-2 were transferred to the Military Hospital of Neder-over-Heembeek where they underwent a 14-day quarantine.[16][17]",,,,"international aid, quarantine planned, traveller quarantine",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,,,,,False,False,False,True
262,206,,Belgium,"Jan 29, 2020",,Chinese New Year celebrations were cancelled at the University of Leuven.[9],,,,event cancellation,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,,,,,True,False,False,False
268,221,,Bosnia and Herzegovina,"Mar 10, 2020",,Authorities in the capital Sarajevo also banned public gatherings with more than 300 people until further notice and ordered the closure of medical schools and faculty.,,,,"activity ban, gathering of more than 250 people banned",,https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA,,,,,True,False,False,False
269,218,,Bosnia and Herzegovina,"Mar 11, 2020","Mar 30, 2020",Serb region shut all schools and universities and banned public events from March 11 to March 30 to help stem the spread of the infection.,West Herzegovina Canton,,Republika Srpska,"activity ban, school closure, university closure",,https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA,,,,,True,False,True,False
271,219,,Bosnia and Herzegovina,"Mar 10, 2020",,entry to travelers from countries most affected by the coronavirus outbreak,,,Bosnia,international travel ban,,https://www.reuters.com/article/us-health-coronavirus-bosnia/bosnias-serb-region-shuts-schools-bans-public-gatherings-over-coronavirus-idUSKBN20X2CA,,,,,False,False,False,True
272,216,,Belgium,"Mar 12, 2020",,"Late in the evening on 12 March, after a meeting of the National Security Council, the Belgian government ordered the closure of schools, discos, cafes and restaurants, and the cancellation of all public gatherings for sporting, cultural or festive purposes from Friday March 14th at midnight onwards.[74]",,,,"business suspension, event cancellation, school closure",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,,,,,True,False,True,False
276,215,,Belgium,"Mar 01, 2020",,"The mayor of Sint-Lambrechts-Woluwe, Olivier Maingain, was one of the only mayors to take measures to prevent the spreading of the new corona virus by restricting access to schools, preschools, sports facilities and public places for persons returning from areas at risk.[29]",,,,"targeted isolation, traveller quarantine",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium,,,,,False,False,False,True
